% Model,SiO2ring1900to2000_SiO2_height160nm.mph,
% Version,COMSOL 5.4.0.388,
% Date,"Sep 6 2019, 14:39",
% Table,Table 4 - ,
% dist,r,"Electric potential (V), Point: (0, 0)"
0.14,0,0.139773957
0.14,0.02,0.139781836
0.14,0.04,0.139795364
0.14,0.06,0.139814302
0.14,0.08,0.139828984
0.14,0.1,0.139840363
0.14,0.12,0.139841134
0.14,0.14,0.139836591
0.14,0.16,0.139830486
0.14,0.18,0.139822695
0.14,0.2,0.139819465
0.14,0.22,0.13981904
0.14,0.24,0.139825197
0.14,0.26,0.139835606
0.14,0.28,0.139853172
0.14,0.3,0.139879297
0.14,0.32,0.139915017
0.14,0.34,0.139961944
0.14,0.36,0.140025471
0.14,0.38,0.140101487
0.14,0.4,0.140197913
0.14,0.42,0.140315082
0.14,0.44,0.140454689
0.14,0.46,0.140613953
0.14,0.48,0.140787108
0.14,0.5,0.140970811
0.14,0.52,0.141155983
0.14,0.54,0.141339806
0.14,0.56,0.141515215
0.14,0.58,0.141681984
0.14,0.6,0.14183536
0.14,0.62,0.141974332
0.14,0.64,0.142104621
0.14,0.66,0.142219917
0.14,0.68,0.142322628
0.14,0.7,0.142416423
0.14,0.72,0.142501602
0.14,0.74,0.142576351
0.14,0.76,0.142645872
0.14,0.78,0.142704674
0.14,0.8,0.142761067
0.14,0.82,0.142810327
0.14,0.84,0.142856596
0.14,0.86,0.142897905
0.14,0.88,0.142933565
0.14,0.9,0.142968948
0.14,0.92,0.143000435
0.14,0.94,0.143027812
0.14,0.96,0.143052
0.14,0.98,0.143076276
0.14,1,0.143100337
0.14,1.02,0.143118106
0.14,1.04,0.143136177
0.14,1.06,0.143152936
0.14,1.08,0.143168054
0.14,1.1,0.143182998
0.14,1.12,0.14319693
0.14,1.14,0.143208407
0.14,1.16,0.143219666
0.14,1.18,0.143230349
0.14,1.2,0.143239888
0.14,1.22,0.143250046
0.14,1.24,0.143256782
0.14,1.26,0.14326317
0.14,1.28,0.143271827
0.14,1.3,0.143276071
0.14,1.32,0.143282667
0.14,1.34,0.143286828
0.14,1.36,0.14329011
0.14,1.38,0.143294243
0.14,1.4,0.143296758
0.14,1.42,0.143298082
0.14,1.44,0.143300939
0.14,1.46,0.143302265
0.14,1.48,0.143301562
0.14,1.5,0.143301881
0.14,1.52,0.143299668
0.14,1.54,0.143295877
0.14,1.56,0.143292861
0.14,1.58,0.143285047
0.14,1.6,0.143278325
0.14,1.62,0.143267134
0.14,1.64,0.143254634
0.14,1.66,0.14323766
0.14,1.68,0.143214951
0.14,1.7,0.143186758
0.14,1.72,0.143150215
0.14,1.74,0.143104407
0.14,1.76,0.143044366
0.14,1.78,0.142965081
0.14,1.8,0.142862081
0.14,1.82,0.142729683
0.14,1.84,0.142562595
0.14,1.86,0.142360042
0.14,1.88,0.142140782
0.14,1.9,0.141935577
0.14,1.92,0.141785693
0.14,1.94,0.141708931
0.14,1.96,0.141712766
0.14,1.98,0.141798161
0.14,2,0.141959384
0.14,2.02,0.142169747
0.14,2.04,0.142394223
0.142,0,0.139827182
0.142,0.02,0.139831097
0.142,0.04,0.139845625
0.142,0.06,0.139861892
0.142,0.08,0.139878738
0.142,0.1,0.139886759
0.142,0.12,0.139889619
0.142,0.14,0.139885888
0.142,0.16,0.139878523
0.142,0.18,0.139872129
0.142,0.2,0.139869488
0.142,0.22,0.139869599
0.142,0.24,0.139874164
0.142,0.26,0.139886605
0.142,0.28,0.139905148
0.142,0.3,0.139931964
0.142,0.32,0.139967867
0.142,0.34,0.140012153
0.142,0.36,0.140074765
0.142,0.38,0.140149605
0.142,0.4,0.140247849
0.142,0.42,0.140360963
0.142,0.44,0.140499331
0.142,0.46,0.140652057
0.142,0.48,0.14082285
0.142,0.5,0.141002912
0.142,0.52,0.141181988
0.142,0.54,0.141363248
0.142,0.56,0.141536051
0.142,0.58,0.141697899
0.142,0.6,0.141846967
0.142,0.62,0.141986981
0.142,0.64,0.142111328
0.142,0.66,0.142225364
0.142,0.68,0.142330819
0.142,0.7,0.142421523
0.142,0.72,0.142505953
0.142,0.74,0.142578801
0.142,0.76,0.142648257
0.142,0.78,0.142707833
0.142,0.8,0.142763459
0.142,0.82,0.14281283
0.142,0.84,0.142857015
0.142,0.86,0.142899209
0.142,0.88,0.142937328
0.142,0.9,0.142970516
0.142,0.92,0.143001029
0.142,0.94,0.1430273
0.142,0.96,0.143054311
0.142,0.98,0.143076775
0.142,1,0.14309902
0.142,1.02,0.143119283
0.142,1.04,0.14313609
0.142,1.06,0.143154445
0.142,1.08,0.143169707
0.142,1.1,0.143185093
0.142,1.12,0.143197881
0.142,1.14,0.143208168
0.142,1.16,0.143220242
0.142,1.18,0.143229065
0.142,1.2,0.143240527
0.142,1.22,0.143249276
0.142,1.24,0.143255854
0.142,1.26,0.143264329
0.142,1.28,0.143270674
